symbol,timeframe,zone_type,entry_time,strength_remark,status,Diff %
BANDHANBNK,15,supply,2026-01-01 12:15:00,Explosive,"TESTED, NOT BROKEN",0.54
LEMONTREE,15,supply,2026-01-02 13:00:00,Strong,UNTESTED,0.54
ABCAPITAL,15,supply,2026-01-02 12:15:00,Moderate,UNTESTED,0.56
IGL,30,supply,2025-12-30 15:15:00,Explosive,"TESTED, NOT BROKEN",0.56
LAURUSLABS,15,supply,2026-01-02 12:45:00,Strong,UNTESTED,0.57
FEDERALBNK,30,demand,2026-01-01 15:15:00,Strong,UNTESTED,0.57
SYNGENE,15,demand,2026-01-02 13:45:00,Explosive,UNTESTED,0.57
ANGELONE,15,demand,2026-01-02 14:15:00,Explosive,UNTESTED,0.59
MOTHERSON,30,demand,2026-01-01 13:15:00,Moderate,"TESTED, NOT BROKEN",0.6
HBLENGINE,15,demand,2026-01-02 12:00:00,Explosive,"TESTED, NOT BROKEN",0.6
NATCOPHARM,30,supply,2026-01-02 13:45:00,Explosive,UNTESTED,0.61
NATCOPHARM,15,supply,2026-01-02 13:45:00,Strong,UNTESTED,0.61
ICICIGI,15,demand,2026-01-02 09:30:00,Strong,"TESTED, NOT BROKEN",0.62
ICICIGI,30,demand,2026-01-02 09:45:00,Strong,UNTESTED,0.62
CASTROLIND,30,demand,2026-01-02 10:45:00,Explosive,UNTESTED,0.62
AMBUJACEM,15,demand,2026-01-02 14:15:00,Explosive,UNTESTED,0.62
ABCAPITAL,15,demand,2026-01-01 13:00:00,Explosive,UNTESTED,0.63
COLPAL,15,supply,2025-12-26 13:15:00,Explosive,UNTESTED,0.63
TEJASNET,15,demand,2026-01-02 10:15:00,Moderate,"TESTED, NOT BROKEN",0.63
SUNPHARMA,15,demand,2026-01-01 14:15:00,Strong,"TESTED, NOT BROKEN",0.64
VOLTAS,30,demand,2026-01-02 10:45:00,Moderate,UNTESTED,0.65
HINDUNILVR,15,demand,2026-01-02 11:15:00,Strong,UNTESTED,0.66
BIOCON,15,demand,2026-01-02 13:15:00,Explosive,UNTESTED,0.69
HINDALCO,15,demand,2026-01-02 14:00:00,Moderate,UNTESTED,0.7
CANBK,30,supply,2025-12-31 13:45:00,Strong,UNTESTED,0.7
MFSL,15,demand,2025-12-31 13:00:00,Explosive,"TESTED, NOT BROKEN",0.71
ADANIENSOL,15,supply,2026-01-02 13:45:00,Strong,"TESTED, NOT BROKEN",0.72
IOC,30,demand,2026-01-02 12:45:00,Strong,UNTESTED,0.72
ICICIBANK,15,demand,2026-01-02 12:15:00,Strong,UNTESTED,0.74
GLENMARK,15,demand,2026-01-02 13:30:00,Moderate,UNTESTED,0.75
UNOMINDA,15,demand,2026-01-02 14:15:00,Explosive,UNTESTED,0.76
APOLLOTYRE,15,supply,2025-12-29 14:30:00,Moderate,"TESTED, NOT BROKEN",0.77
KOTAKBANK,15,demand,2025-12-31 12:15:00,Strong,UNTESTED,0.78
TMPV,15,demand,2026-01-01 10:00:00,Strong,"TESTED, NOT BROKEN",0.78
MOTHERSON,15,demand,2026-01-01 13:00:00,Strong,"TESTED, NOT BROKEN",0.78
ICICIBANK,30,demand,2026-01-02 12:15:00,Strong,UNTESTED,0.8
NYKAA,15,demand,2025-12-30 13:45:00,Strong,"TESTED, NOT BROKEN",0.82
WHIRLPOOL,30,demand,2026-01-02 10:45:00,Strong,"TESTED, NOT BROKEN",0.82
CANBK,15,demand,2026-01-02 12:00:00,Explosive,"TESTED, NOT BROKEN",0.82
OIL,15,demand,2026-01-01 15:15:00,Explosive,UNTESTED,0.82
COFORGE,15,demand,2026-01-02 12:45:00,Moderate,"TESTED, NOT BROKEN",0.84
TORNTPOWER,15,demand,2026-01-02 14:00:00,Strong,UNTESTED,0.84
NAUKRI,15,demand,2026-01-02 10:30:00,Strong,UNTESTED,0.86
MFSL,15,demand,2026-01-02 14:15:00,Strong,UNTESTED,0.86
COLPAL,15,demand,2026-01-01 09:15:00,Moderate,UNTESTED,0.87
ANGELONE,15,supply,2025-12-30 10:00:00,Moderate,"TESTED, NOT BROKEN",0.88
AFCONS,15,demand,2026-01-01 15:00:00,Explosive,"TESTED, NOT BROKEN",0.89
GUJGASLTD,15,demand,2026-01-02 12:00:00,Moderate,UNTESTED,0.9
MRPL,15,demand,2025-12-31 12:15:00,Explosive,"TESTED, NOT BROKEN",0.96
SAREGAMA,30,demand,2026-01-02 13:45:00,Explosive,"TESTED, NOT BROKEN",0.97
IEX,15,demand,2026-01-02 10:30:00,Strong,UNTESTED,0.98
CROMPTON,15,supply,2025-12-30 09:30:00,Strong,"TESTED, NOT BROKEN",1.0
GRSE,15,supply,2026-01-02 12:00:00,Explosive,UNTESTED,1.01
KFINTECH,15,demand,2026-01-01 15:00:00,Strong,"TESTED, NOT BROKEN",1.01
HAVELLS,30,demand,2026-01-02 10:15:00,Strong,UNTESTED,1.02
CASTROLIND,30,demand,2025-12-31 14:45:00,Explosive,UNTESTED,1.03
INDHOTEL,15,demand,2026-01-02 12:15:00,Strong,UNTESTED,1.03
