symbol,timeframe,zone_type,entry_time,strength_remark,status,Diff %
HDFCAMC,75,demand,2025-12-31 10:30:00,Moderate,"TESTED, NOT BROKEN",0.42
PRESTIGE,125,supply,2025-12-11 09:15:00,Moderate,UNTESTED,0.42
CUB,25,demand,2025-12-29 11:45:00,Moderate,"TESTED, NOT BROKEN",0.44
LEMONTREE,25,supply,2026-01-02 13:00:00,Strong,UNTESTED,0.46
HINDUNILVR,25,demand,2026-01-02 11:20:00,Strong,UNTESTED,0.46
BDL,75,supply,2025-12-08 10:30:00,Explosive,"TESTED, NOT BROKEN",0.49
WOCKPHARMA,125,demand,2025-12-31 13:25:00,Moderate,"TESTED, NOT BROKEN",0.49
SUNPHARMA,25,demand,2026-01-02 09:15:00,Strong,"TESTED, NOT BROKEN",0.49
GRSE,25,demand,2026-01-01 11:20:00,Strong,"TESTED, NOT BROKEN",0.5
JUBLFOOD,75,supply,2026-01-01 14:15:00,Explosive,"TESTED, NOT BROKEN",0.5
KOTAKBANK,25,demand,2025-12-31 13:00:00,Strong,UNTESTED,0.5
JMFINANCIL,25,supply,2026-01-01 09:40:00,Explosive,"TESTED, NOT BROKEN",0.5
IGL,75,supply,2025-12-31 09:15:00,Explosive,"TESTED, NOT BROKEN",0.51
AUROPHARMA,125,supply,2025-12-23 13:25:00,Moderate,UNTESTED,0.53
MFSL,125,supply,2025-12-26 09:15:00,Moderate,"TESTED, NOT BROKEN",0.53
AUROPHARMA,75,supply,2025-12-23 13:00:00,Moderate,"TESTED, NOT BROKEN",0.53
ANGELONE,25,supply,2025-12-30 09:15:00,Moderate,"TESTED, NOT BROKEN",0.53
SWANCORP,125,demand,2025-12-15 13:25:00,Strong,UNTESTED,0.53
VMM,125,supply,2025-12-30 11:20:00,Moderate,"TESTED, NOT BROKEN",0.53
NBCC,25,demand,2026-01-02 13:25:00,Moderate,"TESTED, NOT BROKEN",0.57
SYNGENE,25,demand,2026-01-02 13:50:00,Explosive,UNTESTED,0.57
BEL,75,supply,2025-12-08 10:30:00,Explosive,"TESTED, NOT BROKEN",0.57
AMBUJACEM,25,demand,2026-01-02 14:15:00,Explosive,UNTESTED,0.57
TIINDIA,125,demand,2025-12-10 09:15:00,Explosive,"TESTED, NOT BROKEN",0.58
CIPLA,25,demand,2025-12-31 12:10:00,Moderate,"TESTED, NOT BROKEN",0.59
ANGELONE,25,demand,2026-01-02 14:15:00,Explosive,UNTESTED,0.59
NATCOPHARM,25,supply,2026-01-02 13:50:00,Explosive,UNTESTED,0.61
ICICIGI,75,demand,2026-01-02 10:30:00,Moderate,UNTESTED,0.62
APOLLOTYRE,125,supply,2026-01-01 11:20:00,Strong,"TESTED, NOT BROKEN",0.62
SUNPHARMA,125,supply,2025-12-26 11:20:00,Moderate,"TESTED, NOT BROKEN",0.63
SUNPHARMA,75,supply,2025-12-26 10:30:00,Strong,"TESTED, NOT BROKEN",0.63
VBL,25,demand,2026-01-02 12:10:00,Explosive,"TESTED, NOT BROKEN",0.63
ELGIEQUIP,75,supply,2025-12-16 10:30:00,Explosive,UNTESTED,0.63
ELGIEQUIP,125,supply,2025-12-16 11:20:00,Explosive,UNTESTED,0.63
SUNPHARMA,25,demand,2026-01-01 14:15:00,Moderate,"TESTED, NOT BROKEN",0.66
HCLTECH,125,supply,2025-12-19 11:20:00,Strong,"TESTED, NOT BROKEN",0.68
BIOCON,25,demand,2026-01-02 13:25:00,Explosive,UNTESTED,0.69
DELHIVERY,25,demand,2026-01-02 10:05:00,Moderate,"TESTED, NOT BROKEN",0.69
GPPL,75,supply,2025-12-30 11:45:00,Moderate,"TESTED, NOT BROKEN",0.69
DLF,75,demand,2026-01-02 10:30:00,Explosive,UNTESTED,0.7
INDHOTEL,125,demand,2026-01-02 09:15:00,Moderate,"TESTED, NOT BROKEN",0.71
GVT&D,25,supply,2026-01-02 11:45:00,Moderate,UNTESTED,0.72
TEJASNET,25,demand,2025-12-29 10:05:00,Explosive,"TESTED, NOT BROKEN",0.72
NESTLEIND,25,supply,2026-01-02 11:45:00,Strong,UNTESTED,0.73
NESTLEIND,75,demand,2025-12-26 14:15:00,Moderate,"TESTED, NOT BROKEN",0.75
TATASTEEL,25,demand,2026-01-01 14:40:00,Explosive,"TESTED, NOT BROKEN",0.75
VOLTAS,25,supply,2026-01-02 13:00:00,Moderate,UNTESTED,0.76
ICICIBANK,75,supply,2025-12-10 14:15:00,Moderate,"TESTED, NOT BROKEN",0.76
DELHIVERY,125,demand,2025-12-18 13:25:00,Moderate,"TESTED, NOT BROKEN",0.77
BAJFINANCE,125,supply,2025-12-29 11:20:00,Explosive,"TESTED, NOT BROKEN",0.77
BAJFINANCE,75,supply,2025-12-29 10:30:00,Explosive,"TESTED, NOT BROKEN",0.77
MOTHERSON,25,demand,2026-01-01 13:00:00,Moderate,"TESTED, NOT BROKEN",0.78
LAURUSLABS,125,demand,2025-12-31 13:25:00,Moderate,UNTESTED,0.78
NYKAA,25,demand,2025-12-30 13:50:00,Explosive,"TESTED, NOT BROKEN",0.8
WHIRLPOOL,25,demand,2026-01-02 10:30:00,Moderate,"TESTED, NOT BROKEN",0.82
BANDHANBNK,125,demand,2025-12-12 09:15:00,Strong,"TESTED, NOT BROKEN",0.83
TATACONSUM,75,supply,2025-12-30 10:30:00,Moderate,"TESTED, NOT BROKEN",0.84
MFSL,25,demand,2025-12-31 13:00:00,Strong,"TESTED, NOT BROKEN",0.85
SYNGENE,25,demand,2026-01-02 09:15:00,Moderate,"TESTED, NOT BROKEN",0.86
KOTAKBANK,125,demand,2025-12-31 13:25:00,Strong,UNTESTED,0.86
FEDERALBNK,125,supply,2025-12-23 11:20:00,Explosive,"TESTED, NOT BROKEN",0.86
